"visit_date","day","time","house_id","neighbourhood","visitor","agent","review","building","conservation","size","price","location","did_not_like_the_location","expected_a_better_preserved_property","bigger_in_photos","different_from_the_listing","others"
"2017-12-27","2017-12-27","12:30",892815605,Perdizes,Maria,Flávio,"4",false,false,false,false,false,false,false,true,false,
"2018-01-03","1/3/2018","13:15",892807836,Vila Mariana,Katherine,José,"3",false,false,false,false,false,false,false,false,false,o zelador muito inflexível. nos deixou pra fora do prédio por muito tempo. o corretor teve que ligar pro proprietário para ele deixar entrar. grosseiro demais o zelador. espanta os inquilinos.
"2018-01-03","1/3/2018","13:30",892816168,Jardim Pinheiros,Thania,Wesley,"1",false,false,false,false,false,false,false,false,true,o anúncio não é igual o imóvel
"2018-01-03","2018-01-03","9:45",892814475,Cerqueira César,Marcelle,Sueli,"5",true,true,false,false,false,false,false,false,false,
"2018-01-03","2018-01-03","8:45",892813594,Santo Antônio,Marina,Emerson,"3",false,false,false,false,false,false,false,true,false,
"2018-01-03","2018-01-03","8:15",892813557,Campo Belo,Diego,Pablo,"5",true,true,true,false,true,false,false,false,false,
"2018-01-03","2018-01-03","10:00",892815182,Vila Mariana,Danilo,Nilton,"5",true,true,true,false,true,false,false,false,false,
"2018-01-03","2018-01-03","13:30",892814514,Santa Efigênia,Danilo,Leonardo,"5",false,true,false,true,false,false,false,false,false,
"2018-01-03","2018-01-03","14:30",892778046,Bela Vista,Danilo,Gisele,"3",false,false,false,false,false,false,true,true,false,
"2018-01-03","2018-01-03","16:30",892809386,Vila Suzana,Allan,Marcio,"4",false,false,false,false,false,false,false,true,false,
"2018-01-03","2018-01-03","12:30",892816048,Vila Nova Conceição,Bruno,Claudia,"4",false,false,false,false,false,true,false,false,false,
"2018-01-03","2018-01-03","12:30",892816048,Vila Nova Conceição,Bruno,Claudia,"4",false,false,false,false,false,true,false,false,false,
"2018-01-03","2018-01-03","12:00",892816078,Vila Suzana,Marcelo,Joni,"3",false,false,false,false,false,false,false,true,false,
"2018-01-03","2018-01-03","12:45",892810643,Vila Suzana,Marcelo,Marcio,"4",false,false,false,false,false,false,true,false,false,
"2018-01-03","1/3/2018","12:15",892815002,Pinheiros,Thais,Luiz,"3",false,false,false,false,false,false,true,true,false,localização ótima mas apartamento com cheiro de velho
"2018-01-03","1/3/2018","14:30",892815363,Barra Funda,Thais,Silvana,"1",false,false,false,false,false,true,true,false,true,"nas fotos não aparecia a realidade.... dizia ser na barra funda e está no bom retiro e o ap apesar de MT boa planta está muito destruido, armários pessimos"
"2017-12-27","2017-12-27","10:45",892811332,Umuarama,Charles,Joscelin,"5",false,false,false,true,false,false,false,false,false,
"2018-01-03","2018-01-03","14:15",892806236,Centro,Beatriz,Marcos,"5",false,false,false,false,true,false,false,false,false,
"2018-01-03","2018-01-03","15:30",892811129,Tatuapé,#VALUE!,Alessandro,"5",true,true,true,true,true,false,false,false,false,
"2018-01-04","1/4/2018","8:00",892811969,Pinheiros,Rayane,Claudia,"5",false,false,false,true,false,false,false,false,false,
"2018-01-04","1/4/2018","8:00",892815246,Consolação,Rafael,Marcos,"2",false,false,false,false,false,false,false,false,false,apartamento nao tem os 70m que estavam no anuncio
"2018-01-04","1/4/2018","9:00",892816157,Vila Buarque,Gabriela,Paulo,"4",false,false,false,false,false,false,false,true,false,
"2018-01-04","1/4/2018","10:00",892815858,Santo Antônio,#VALUE!,Carla,"5",false,true,true,false,true,false,false,false,false,
"2018-01-04","1/4/2018","10:00",892797428,Brás,Anderson,Aires,"2",false,false,false,false,false,false,false,true,false,
"2018-01-04","1/4/2018","10:00",892815534,Pinheiros,Guilherme,Luiz,"5",true,true,false,false,true,false,false,false,false,
"2018-01-04","1/4/2018","10:45",892815835,Pinheiros,Tulio,Luiz,"5",true,false,true,false,true,false,false,false,false,
"2018-01-04","1/4/2018","11:00",892815658,Santa Cecília,Rafael,Paulo,"5",false,false,false,true,true,false,false,false,false,
"2018-01-04","1/4/2018","9:00",892816157,Vila Buarque,Taís,Luiz,"5",true,true,true,true,true,false,false,false,false,
"2018-01-04","1/4/2018","11:45",892806660,Perdizes,Manoel,Maria,"3",false,false,false,false,false,false,true,false,false,
"2018-01-04","1/4/2018","11:45",892813281,Cambuí,#VALUE!,Fabiana,"5",true,true,true,false,true,false,false,false,false,
"2017-12-28","12/28/2017","11:15",892800126,Jardim Petrópolis,João,Cleonice,"5",false,false,false,false,true,false,false,false,false,
"2018-01-04","1/4/2018","11:00",892813519,Bela Vista,Patricia,Marcos,"3",false,false,false,false,false,true,false,false,false,
"2018-01-04","1/4/2018","11:45",892783221,Bela Vista,Patricia,Francisco,"2",false,false,false,false,false,false,false,false,true,Ventilação insuficiente.
"2018-01-04","1/4/2018","12:30",892813823,Bela Vista,Patricia,Marcos,"5",false,false,true,false,true,false,false,false,false,"Vista, ventilação, utilização do espaço."
"2018-01-04","1/4/2018","11:30",892809763,Pinheiros,Luciana,Debora,"2",false,false,false,false,false,false,false,true,true,Apto pequeno
"2018-01-04","1/4/2018","12:15",892812433,Pinheiros,Luciana,Debora,"2",false,false,false,false,false,false,true,false,false,
"2018-01-04","1/4/2018","9:45",892802388,Bela Vista,Danilo,William,"5",false,true,false,true,false,false,false,false,false,
"2018-01-04","1/4/2018","10:15",892811971,Bela Vista,Danilo,Paulo,"5",false,false,true,true,false,false,false,false,false,
"2018-01-04","1/4/2018","11:30",892815496,Consolação,Marcelle,Rosangela,"4",false,false,false,false,false,false,true,false,false,
"2018-01-04","1/4/2018","12:45",892797901,Casa Verde,Nathalia,Caio,"5",true,false,false,false,false,false,false,false,false,
"2018-01-04","1/4/2018","13:30",892815455,Vila da Saúde,Pedro,Tania,"4",false,false,false,false,false,false,false,true,false,sem armários nos quartos
"2018-01-04","1/4/2018","13:15",892807737,Botafogo,Lucas,Araci,"5",true,true,true,true,true,false,false,false,false,
"2018-01-04","1/4/2018","12:30",892807915,Centro,Lucas,Araci,"5",false,true,true,true,true,false,false,false,false,
"2018-01-04","1/4/2018","10:15",892810605,Jardim Ampliação,Fernanda,Augusto,"5",true,false,true,false,false,false,false,false,false,
"2018-01-04","1/4/2018","9:45",892812527,Jardim Ampliação,Fernanda,Marcio,"3",false,false,false,false,false,false,true,false,false,
"2018-01-04","1/4/2018","11:00",892815754,Vila Pompéia,Leonardo,Sergio,"5",true,true,true,true,true,false,false,false,false,
"2018-01-04","1/4/2018","13:00",892806660,Perdizes,Leonardo,Silvana,"3",false,false,false,false,false,false,true,false,false,
"2018-01-04","1/4/2018","10:15",892810962,Vila Mascote,Luiz,Ivaldo,"5",true,true,true,true,true,false,false,false,false,
"2018-01-04","1/4/2018","13:45",892802884,Botafogo,Lucas,Araci,"5",false,true,true,true,true,false,false,false,false,
"2018-01-04","1/4/2018","12:30",892784984,Bela Vista,Arthur,Raimundo,"4",false,false,false,false,false,false,false,false,false,. shsjansh jsayagaj
"2018-01-04","1/4/2018","10:00",892813079,Vila Buarque,Gabriela,Regina,"4",false,false,false,false,false,false,false,false,false,Obra no terreno vizinho
"2018-01-04","1/4/2018","12:30",892813519,Bela Vista,Israel,Marcos,"5",true,true,true,true,true,false,false,false,false,
"2018-01-04","1/4/2018","11:45",892812912,Vila Clementino,Larissa,Tania,"3",false,false,false,false,false,false,true,false,false,
"2018-01-04","1/4/2018","12:00",892813032,Pinheiros,Rayane,Tatiana,"3",false,false,false,false,false,false,false,true,false,
"2018-01-04","1/4/2018","13:30",892810424,Cerqueira César,Rayane,Claudia,"4",false,false,false,false,false,false,true,false,false,
"2018-01-04","1/4/2018","11:15",892813334,Consolação,Rayane,Guilherme,"4",false,false,false,false,false,false,true,false,false,
"2018-01-04","1/4/2018","12:30",892813914,Vila Buarque,Priscila,Rosangela,"5",true,true,false,true,true,false,false,false,false,
"2018-01-04","1/4/2018","11:00",892813611,Mauá,Roberto,Carla,"5",false,true,false,false,false,false,false,false,false,
"2018-01-04","1/4/2018","14:45",892812777,Santa Cecília,Rafael,Marcos,"5",false,false,false,false,true,false,false,false,false,
"2018-01-04","1/4/2018","8:00",892783748,Vila Guarani (z Sul),Danilo,Ivaldo,"5",false,false,false,true,false,false,false,false,false,
"2018-01-04","1/4/2018","8:45",892810136,Vila Guarani (z Sul),Danilo,Ivaldo,"5",false,false,false,true,true,false,false,false,false,
"2018-01-04","1/4/2018","15:45",892784768,Vila Uberabinha,Danilo,Arthur,"3",false,false,false,false,false,false,true,true,false,
"2018-01-04","1/4/2018","16:30",892783201,Bela Vista,Patricia,Rosangela,"2",false,false,false,false,false,false,false,false,false,Não gostei do prédio.
"2018-01-04","1/4/2018","15:30",892815979,Mirandópolis,Leandro,Tania,"5",true,true,true,true,true,false,false,false,false,
"2018-01-04","1/4/2018","12:15",892810174,Pinheiros,Tulio,Luiz,"5",true,true,true,false,true,false,false,false,false,
"2018-01-04","1/4/2018","9:00",892815479,Perdizes,Luiz,Ricardo,"4",false,false,false,false,false,false,false,true,false,
"2018-01-04","1/4/2018","15:00",892805456,Mirandópolis,Ronaldo,Tania,"3",false,false,false,false,false,false,false,true,false,
"2018-01-04","1/4/2018","12:45",892789702,Pinheiros,Marco,Clara,"5",true,false,true,false,true,false,false,false,false,
"2018-01-04","1/4/2018","14:30",892806444,Pinheiros,Marco,Clara,"4",false,false,false,false,false,true,false,false,false,
"2018-01-04","1/4/2018","15:15",892813829,Pinheiros,Marco,Clara,"5",true,true,true,true,true,false,false,false,false,
"2018-01-04","1/4/2018","16:00",892804555,Pinheiros,Marco,Clara,"5",true,true,true,true,true,false,false,false,false,
"2018-01-04","1/4/2018","12:00",892798856,Pinheiros,Marco,Clara,"5",true,true,true,false,true,false,false,false,false,
"2018-01-04","1/4/2018","12:30",892806732,Jardim Paulista,Gabriel,Guilherme,"3",false,false,false,false,false,true,true,false,false,
"2018-01-04","1/4/2018","11:30",892815496,Consolação,Gabriel,Rosangela,"5",true,false,true,true,true,false,false,false,false,
"2018-01-04","1/4/2018","8:00",892789702,Pinheiros,Victor,Sabrina,"3",false,false,false,false,false,false,false,true,false,
"2018-01-05","1/5/2018","8:45",892810815,Jardim Paulista,Gabriel,Sueli,"4",false,false,false,false,false,false,true,false,false,
"2018-01-05","1/5/2018","10:00",892815463,Bela Vista,Mariana,Marcos,"5",true,true,true,true,true,false,false,false,false,
"2018-01-04","1/4/2018","9:15",892813833,Consolação,Gabriel,Paulo,"4",false,false,false,false,false,false,true,false,false,
"2018-01-05","1/5/2018","9:30",892815618,Jardim Paulista,Ana,William,"5",false,true,true,true,true,false,false,false,false,
"2018-01-05","1/5/2018","9:30",892815618,Jardim Paulista,Ana,William,"5",false,true,true,true,true,false,false,false,false,
"2018-01-05","1/5/2018","10:00",892770640,Brooklin Paulista,Simone,Abigail,"5",true,false,true,true,true,false,false,false,false,
"2018-01-05","1/5/2018","11:00",892815618,Jardim Paulista,Felipe,Gisele,"5",false,true,true,true,true,false,false,false,false,
"2018-01-05","1/5/2018","11:00",892815618,Jardim Paulista,Felipe,Gisele,"5",false,true,true,true,true,false,false,false,false,
"2018-01-04","1/4/2018","10:15",892806113,Vila Nova Conceição,Wellington,Claudia,"4",false,false,false,false,false,true,false,false,false,
"2018-01-04","1/4/2018","13:00",892801091,Vila Mariana,Victoria,Sandro,"5",false,true,true,false,true,false,false,false,false,
"2018-01-04","1/4/2018","8:45",892815672,Vila Mariana,Victoria,Sandro,"4",false,false,false,false,false,false,true,false,false,
"2018-01-04","1/4/2018","8:00",892789901,Vila Mariana,Victoria,Sandro,"4",false,false,false,false,false,true,false,false,false,
"2018-01-04","1/4/2018","16:30",892815635,Vila Pompéia,Carolina,Luiz,"5",false,true,false,false,true,false,false,false,false,
"2018-01-05","1/5/2018","10:30",892815967,Jardim Paulista,Andre,Guilherme,"5",false,false,false,false,true,false,false,false,false,
"2018-01-05","1/5/2018","10:30",892813795,Vila Mascote,Fernanda,Sylvia,"1",false,false,false,false,false,false,true,false,false,
"2018-01-05","1/5/2018","10:30",892813795,Vila Mascote,Fernanda,Sylvia,"1",false,false,false,false,false,false,true,false,false,
"2018-01-04","1/4/2018","14:45",892812777,Santa Cecília,Nathalia,Marcos,"1",false,false,false,false,false,false,true,true,false,"piso em péssimo estado, soltando em vários pontos do imóvel (áreas grandes sem o piso), armários muito velhos, rangendo, soltando pedaços de madeira. Imóvel extremamente mal conservado."
"2018-01-05","1/5/2018","12:00",892788993,Moema,Wellington,Jeferson,"4",false,false,false,false,false,false,false,false,false,prédio não tem área de lazer
"2018-01-05","1/5/2018","12:00",892814686,Tatuapé,#VALUE!,Jonnatan,"5",true,true,true,true,true,false,false,false,false,
"2018-01-05","1/5/2018","12:30",892815925,Campos Elíseos,Leandro,Mauro,"4",false,false,false,false,false,false,false,true,true,anúncio indicava churrasqueira que não tinha
"2018-01-05","1/5/2018","12:30",892806900,Tatuapé,Roney,Kelly,"5",true,true,false,false,false,false,false,false,false,
"2018-01-04","1/4/2018","13:45",892815566,Vila Nova,Beatriz,Marcos,"5",false,false,true,false,false,false,false,false,false,
"2018-01-05","1/5/2018","12:00",892815980,Jardim Nova Europa,Carlos,Wesley,"5",false,false,false,false,true,false,false,false,false,
"2018-01-05","1/5/2018","13:00",892814197,Jardim Europa,Matheus,Pablo,"3",false,false,false,false,false,false,false,false,true,entendi pelo anuncio que seria mobiliado
"2018-01-05","1/5/2018","11:45",892789701,Pinheiros,Priscila,Claudia,"4",false,false,false,false,false,false,true,false,false,
"2018-01-05","1/5/2018","14:00",892815533,Bela Vista,Arthur,Luiz,"5",true,true,true,true,true,false,false,false,false,
"2018-01-05","1/5/2018","14:00",892814680,Aclimação,Jade,Ana,"5",false,true,true,true,false,false,false,false,false,
"2018-01-12","2018-01-12","12:30",892815276,Vila Mariana,Pedro,William,"3",false,false,false,false,false,false,true,false,false,
"2018-01-05","1/5/2018","15:15",892787828,Consolação,Priscila,Gisele,"5",true,true,false,false,true,false,false,false,false,
"2018-01-05","1/5/2018","12:00",892815980,Jardim Nova Europa,Karen,Wesley,"4",false,false,false,false,false,false,false,false,true,Não tem elevador e armários
"2018-01-05","1/5/2018","8:45",892814668,Higienópolis,Germana,William,"2",false,false,false,false,false,false,true,true,true,o imóvel disponível não está bem conservado não tendo sido feito nenhum reparo para ser posto em locação. As fotos induzem a idéia de que há mais armários do que na realidade se apresenta.
"2018-01-05","1/5/2018","12:15",892815246,Consolação,Germana,Regina,"2",false,false,false,false,false,false,true,false,true,Prédio bastante antigo e pouco conservado
"2018-01-05","1/5/2018","12:45",892815671,Jardim Paulista,Germana,Luiz,"4",false,false,false,false,false,false,true,false,false,
"2018-01-05","1/5/2018","15:45",892787828,Consolação,Germana,Francisco,"3",false,false,false,false,false,false,false,false,true,"Pelas fotos o imóvel parecia ser maior, bem como os móveis da sala estão bem antigos."
"2018-01-04","1/4/2018","11:30",892811200,Vila Mariana,Sérgio,Michel,"4",false,false,false,false,false,false,false,true,false,
"2018-01-05","1/5/2018","11:45",892789038,Bela Vista,Felipe,Luiz,"1",false,false,false,false,false,false,true,false,false,
"2018-01-05","1/5/2018","11:45",892789038,Bela Vista,Felipe,Luiz,"1",false,false,false,false,false,false,true,false,false,
"2018-01-05","1/5/2018","12:30",892812544,Vila Mariana,Rafael,Ariel,"3",false,false,false,false,false,false,true,false,false,
"2018-01-05","1/5/2018","8:30",892813319,Sumaré,Marcelo,Luiz,"5",true,true,true,false,true,false,false,false,false,
"2018-01-05","1/5/2018","10:15",892805172,Vila Pompéia,Marcelo,Sergio,"3",false,false,false,false,false,false,false,true,false,obra ao lado
"2018-01-05","1/5/2018","10:45",892797098,Perdizes,Marcelo,Luiz,"4",false,false,false,false,false,false,false,true,false,
"2018-01-05","1/5/2018","16:30",892814045,Sumarezinho,Lorena,Rogerio,"5",false,false,false,false,true,false,false,false,false,
"2018-01-05","1/5/2018","11:45",892789701,Pinheiros,Lorena,Claudia,"5",false,false,false,true,true,false,false,false,false,
"2018-01-05","1/5/2018","15:15",892814108,Vila Nova,Fioravante,Amaro,"3",false,false,false,false,false,false,false,false,false,"a garagem é ""de gaveta"", ou seja: uma vaga fica na frente da outra e tem que acordar com o outro proprietário quem sai primeiro para que um nao obstrua o outro, o que causa total falta de privacidade."
"2018-01-05","1/5/2018","16:30",892815657,Vila Guarani (z Sul),Andre,Noemi,"5",false,false,false,false,true,false,false,false,false,
"2018-01-05","1/5/2018","15:00",892814306,Liberdade,Andre,José,"2",false,false,false,false,false,false,true,false,false,
"2018-01-05","1/5/2018","10:45",892803772,Santa Paula,Roberto,Emerson,"1",false,false,false,false,false,false,true,false,false,imóvel um lixo
"2018-01-04","1/4/2018","9:45",892813631,Liberdade,Camila,Aparecido,"5",true,true,true,true,true,false,false,false,false,
"2018-01-05","1/5/2018","11:45",892815391,Cerqueira César,Andre,Sueli,"5",false,false,false,false,true,false,false,false,false,
"2018-01-04","1/4/2018","15:00",892815314,Centro,Lucas,Amaro,"2",false,false,false,false,false,false,true,true,false,
"2018-01-05","1/5/2018","11:30",892815479,Perdizes,Marcella,Maria,"5",true,true,true,false,true,false,false,false,false,
"2018-01-06","1/6/2018","9:00",892808545,Bela Vista,Theo,Raimundo,"4",false,false,false,false,false,false,true,false,false,
"2018-01-05","1/5/2018","9:30",892810683,Vila Pompéia,Daniel,Sergio,"2",false,false,false,false,false,false,false,true,false,
"2018-01-05","1/5/2018","11:00",892816098,Perdizes,Thais,Paulo,"5",false,true,true,true,true,false,false,false,false,não gostei do prédio e não tem sacada
"2018-01-04","1/4/2018","10:00",892815254,Vila Firmiano Pinto,Deborah,Nilton,"5",false,false,true,true,true,false,false,false,false,
"2018-01-04","1/4/2018","10:00",892815254,Vila Firmiano Pinto,Deborah,Nilton,"5",false,false,true,true,true,false,false,false,false,
"2018-01-06","1/6/2018","9:00",892788717,Bom Retiro,Erika,Silvana,"5",false,true,true,true,true,false,false,false,false,
"2018-01-06","1/6/2018","9:00",892815817,Vila Ipojuca,Aline,Sergio,"4",false,false,false,false,false,false,false,false,false,as portas do imóvel estavam muito velhas e não fechavam bem.
"2018-01-06","1/6/2018","10:00",892814910,Bela Vista,Taisi,William,"5",false,false,true,false,true,false,false,false,false,
"2018-01-06","1/6/2018","10:15",892812052,Bela Vista,Priscila,Paulo,"5",true,true,false,false,true,false,false,false,false,
"2018-01-06","1/6/2018","10:30",892815656,Santo Amaro,André,Marcelo,"5",false,false,false,true,true,false,false,false,false,
"2018-01-06","1/6/2018","10:15",892812052,Bela Vista,Guilherme,Paulo,"5",true,true,false,false,false,false,false,false,false,
"2018-01-06","1/6/2018","10:15",892814698,Cidade Monções,Alessandra,Pablo,"5",false,false,true,false,true,false,false,false,false,
"2018-01-06","1/6/2018","10:00",892814897,Vila Buarque,Jade,William,"5",false,true,true,true,true,false,false,false,false,
"2018-01-06","1/6/2018","9:45",892814347,Bela Vista,Theo,Raimundo,"5",false,true,false,false,true,false,false,false,false,
"2018-01-06","1/6/2018","9:30",892805061,Vila Mariana,Vinicius,Sandro,"3",false,false,false,false,false,false,false,true,false,
"2018-01-06","1/6/2018","11:00",892812928,Vila Anglo Brasileira,Clarisse,Sergio,"3",false,false,false,false,false,false,true,false,false,
"2018-01-06","1/6/2018","11:00",892812928,Vila Anglo Brasileira,Clarisse,Sergio,"3",false,false,false,false,false,false,true,false,false,
"2018-01-06","1/6/2018","9:30",892810136,Vila Guarani (z Sul),Clarisse,Marialva,"4",false,false,false,false,false,false,true,true,false,
"2018-01-06","1/6/2018","9:30",892810136,Vila Guarani (z Sul),Clarisse,Marialva,"4",false,false,false,false,false,false,true,true,false,
"2018-01-06","1/6/2018","10:00",892813704,Baeta Neves,Fernanda,Vanessa,"5",true,true,true,false,true,false,false,false,false,
"2018-01-06","1/6/2018","11:00",892816157,Vila Buarque,Raquel,Francisco,"5",false,false,false,true,true,false,false,false,false,
"2018-01-06","1/6/2018","9:30",892812998,Consolação,Gabriel,Juliana,"5",false,false,true,false,true,false,false,false,false,
"2018-01-06","1/6/2018","11:15",892804925,Casa Verde,Marislei,Amanda,"4",false,false,false,false,false,false,true,true,false,
"2018-01-06","1/6/2018","11:30",892815736,Bela Vista,Bruno,Raimundo,"5",true,true,true,false,true,false,false,false,false,
"2018-01-05","1/5/2018","14:15",892813079,Vila Buarque,Gustavo,Regina,"5",false,false,false,true,false,false,false,false,false,
"2018-01-06","1/6/2018","11:00",892807176,Brooklin Paulista,Alessandra,Pablo,"5",false,true,true,true,true,false,false,false,false,
"2018-01-06","1/6/2018","10:00",892768385,Jardim Paulista,Marcelle,Gisele,"3",false,false,false,false,false,false,false,true,false,
"2018-01-05","1/5/2018","11:45",892804747,Vila Suzana,Lorena,Joni,"4",false,false,false,false,false,false,true,false,false,
"2018-01-05","1/5/2018","12:30",892801533,Vila Suzana,Lorena,Joni,"5",true,true,true,true,true,false,false,false,false,
"2018-01-06","1/6/2018","12:30",892815835,Pinheiros,luciana,Debora,"5",false,false,false,true,true,false,false,false,false,
"2018-01-06","1/6/2018","12:15",892805456,Mirandópolis,Vitor,Sylvia,"5",true,true,true,false,true,false,false,false,false,
"2018-01-06","1/6/2018","12:15",892805712,Vila Buarque,Raquel,William,"3",false,false,false,false,false,false,false,false,false,A cozinha é muito pequena e as fotos no anúncio não mostram isso.
"2018-01-06","1/6/2018","13:00",892815920,Continental,Luiz,Joscelin,"4",false,false,false,false,false,false,true,false,false,
"2018-01-06","1/6/2018","13:00",892815534,Pinheiros,Luira,Fernando,"5",true,true,true,false,true,false,false,false,false,
"2018-01-06","1/6/2018","9:30",892813585,Ponte Preta,#VALUE!,Araci,"4",false,false,false,false,false,false,false,true,false,
"2018-01-05","1/5/2018","12:30",892812544,Vila Mariana,Jorge,Marlene,"4",false,false,false,false,false,false,false,false,false,estamos pesquisando outras opcoes
"2018-01-06","1/6/2018","12:45",892816338,Santa Cecília,Gabriela,Mauro,"4",false,false,false,false,false,false,true,false,false,
"2018-01-06","1/6/2018","13:00",892813774,Liberdade,#VALUE!,Michel,"3",false,false,false,false,false,true,false,false,false,
"2018-01-05","1/5/2018","16:30",892812936,Jardim Promissão,Franklin,Cristina,"4",false,false,false,false,false,false,false,true,false,
"2018-01-06","1/6/2018","12:30",892811392,Tatuapé,Roney,Aires,"4",false,false,false,false,false,true,false,false,false,
"2018-01-06","1/6/2018","12:15",892805456,Mirandópolis,Moara,Sylvia,"4",false,false,false,false,false,false,false,false,false,nao gostei do banheiro
"2018-01-06","1/6/2018","12:00",892815940,Bela Vista,Ademilson,Luiz,"5",false,true,true,true,true,false,false,false,false,
"2018-01-06","1/6/2018","11:45",892805699,Vila Romana,Clarisse,Sergio,"3",false,false,false,false,false,false,true,false,false,
"2018-01-06","1/6/2018","11:45",892805699,Vila Romana,Clarisse,Sergio,"3",false,false,false,false,false,false,true,false,false,
"2018-01-06","1/6/2018","11:15",892813914,Vila Buarque,Priscila,Gisele,"5",true,true,false,false,true,false,false,false,false,
"2018-01-06","1/6/2018","10:15",892804518,Paraíso,David,Maria,"3",false,false,false,false,false,false,true,false,false,
"2018-01-06","1/6/2018","12:15",892793220,Jardim Paulista,David,Maria,"2",false,false,false,false,false,false,true,false,false,
"2018-01-06","1/6/2018","9:15",892801616,Vila Mariana,David,José,"5",false,true,true,true,true,false,false,false,false,
"2018-01-06","1/6/2018","11:15",892816025,Perdizes,Gabriela,Leonardo,"2",false,false,false,false,false,false,true,false,false,
"2018-01-06","1/6/2018","13:30",892815348,Cidade Vargas,Heloisa,Ivaldo,"3",false,false,false,false,false,false,false,false,false,esperava que fosse um pouco maior
"2018-01-06","1/6/2018","13:30",892816308,Vila Mariana,Jonathan,Sandro,"4",false,false,false,false,false,false,true,false,false,
"2018-01-05","1/5/2018","16:15",892811538,Vila Mariana,Marine,Marlene,"4",false,false,false,false,false,false,false,true,false,
"2018-01-05","1/5/2018","16:15",892811538,Vila Mariana,Marine,Marlene,"4",false,false,false,false,false,false,false,true,false,
"2018-01-06","1/6/2018","13:30",892800735,Vila Buarque,Rafaella,Cristiano,"4",false,false,false,false,false,false,true,false,false,
"2018-01-05","1/5/2018","14:45",892812490,Pinheiros,Marco,Rogerio,"3",false,false,false,false,false,true,true,false,true,Imóvel muito mal conservado
"2018-01-03","1/3/2018","14:15",892803143,Consolação,Carolina,Marcos,"1",false,false,false,false,false,false,false,false,false,o banheiro é horrível.
"2018-01-03","1/3/2018","14:45",892809834,Consolação,Carolina,Marcos,"1",false,false,false,false,false,false,false,false,false,banheiro horrível.
"2018-01-08","2018-01-08","8:45",892815632,Bosque da Saúde,Anouar,Sylvia,"3",false,false,false,false,false,false,true,false,false,
"2018-01-08","1/8/2018","9:15",892816337,Bela Vista,Kjartan,Alexandre,"3",false,false,false,false,false,false,false,false,false,"Gostei do imóvel mas vou ver outros 2 agendados ainda e decidir entre os 3, creio que um dos outros dois vai vencer"
"2018-01-08","2018-01-08","9:45",892810123,Consolação,Valéria,Luiz,"4",false,false,false,false,false,false,true,false,false,
